incident_id,year,month,day_of_week,season,time_of_day,country,area_type,population_density_per_sqkm,crime_type,crime_severity_score,victim_count,victim_gender,victim_age_group,injuries_reported,fatalities,financial_loss_usd,weapon_used,suspect_status,case_status,reporting_method,response_time_minutes,officers_assigned,investigation_duration_days,repeat_offender,gang_related,drug_related,cctv_coverage,lighting_condition,prior_incidents_same_location,safety_index,crime_resolved
CRM0000045,2023,9,Friday,Autumn,Afternoon (12pm-6pm),Pakistan,Rural,37,Fraud,7.9,3,Female,18-25,0,1,507.02,,Arrested,Closed - Unsolved,Community Report,13.4,5,60,No,Yes,No,Full Coverage,No Lighting,3,68.3,No
CRM0000046,2024,11,Thursday,Summer,Night (10pm-2am),Indonesia,Urban,3664,Assault,2.5,1,Female,26-35,0,0,66.72,Knife,Convicted,Closed - Solved,Online Portal,24.6,4,20,No,No,Yes,Full Coverage,Poorly Lit,5,72.8,Yes
CRM0000047,2025,7,Tuesday,Spring,Evening (6pm-10pm),India,Suburban,296,Trafficking,7.3,4,Female,65+,3,0,537.16,Knife,Arrested,Closed - Solved,Police Station,19.2,10,50,No,No,Unknown,Full Coverage,Poorly Lit,5,53.6,Yes
CRM0000048,2023,11,Saturday,Autumn,Evening (6pm-10pm),Mexico,,11,Assault,5.1,2,Female,26-35,0,0,198.59,Unknown,Arrested,Closed - Unsolved,Emergency Call,15.7,3,11,No,Yes,Unknown,Partial Coverage,No Lighting,0,62.2,No
CRM0000049,2022,3,Friday,Autumn,Late Night (2am-6am),India,,913,Cybercrime,3.7,1,Female,,0,0,10.48,Knife,Acquitted,Open - Cold Case,Emergency Call,78.2,2,9,No,No,No,Partial Coverage,Partially Lit,2,64.0,No
CRM0000050,2025,12,Friday,Autumn,Evening (6pm-10pm),Australia,Urban,990,Domestic Violence,9.9,2,Female,65+,3,0,639.81,,Arrested,Open - Active,Police Station,14.2,5,12,No,Yes,No,Full Coverage,Poorly Lit,4,40.5,No
CRM0000051,2025,5,Sunday,Autumn,Morning (6am-12pm),Egypt,Urban,7004,Drug Offense,5.6,1,Female,18-25,2,0,171.64,Blunt Object,Convicted,Open - Cold Case,Police Station,33.3,3,6,Yes,No,No,Partial Coverage,Well Lit,6,30.3,No
CRM0000052,2021,1,Saturday,Spring,Evening (6pm-10pm),Canada,Suburban,370,Assault,4.6,1,Male,26-35,0,0,63.58,Firearm,Arrested,Pending Trial,Community Report,30.9,2,16,Unknown,,No,Partial Coverage,Well Lit,1,75.2,Yes
CRM0000053,2023,8,Sunday,Winter,Night (10pm-2am),Indonesia,Rural,61,Theft,6.1,1,Female,18-25,0,0,150.57,Knife,At Large,Pending Trial,Community Report,25.3,3,31,Yes,No,No,Partial Coverage,Poorly Lit,1,74.9,Yes
CRM0000054,2023,12,Wednesday,Winter,Afternoon (12pm-6pm),UK,Urban,6085,Assault,5.3,1,Unknown,56-65,4,0,1559.25,,At Large,Closed - Solved,Emergency Call,26.1,3,85,No,No,No,Partial Coverage,Partially Lit,3,40.3,Yes
CRM0000055,2025,5,Saturday,Summer,Afternoon (12pm-6pm),Germany,Suburban,282,Burglary,4.5,1,Female,65+,0,0,260.98,Vehicle,Under Investigation,Closed - Solved,Police Station,9.5,3,118,Unknown,No,No,Full Coverage,Poorly Lit,2,84.9,Yes
CRM0000056,2025,11,Thursday,Winter,Night (10pm-2am),Egypt,,87,Murder,4.9,4,Female,,1,0,6561.31,,Unknown,Closed - Unsolved,Emergency Call,31.8,2,105,Yes,Yes,No,Partial Coverage,Poorly Lit,3,41.4,No
CRM0000057,2025,12,Wednesday,Spring,Evening (6pm-10pm),Australia,Urban,2107,Fraud,4.7,1,Unknown,18-25,1,0,248.79,Firearm,At Large,Closed - Unsolved,Online Portal,22.6,3,12,No,No,No,Full Coverage,Well Lit,1,41.5,No
CRM0000058,2024,6,Tuesday,Spring,Afternoon (12pm-6pm),South Africa,Urban,1406,Burglary,8.0,2,Male,36-45,0,0,575.12,,At Large,Open - Cold Case,Police Station,66.7,2,46,Yes,No,Yes,No Coverage,Partially Lit,1,30.9,No
CRM0000059,2023,6,Tuesday,Winter,Night (10pm-2am),Turkey,Suburban,482,Assault,5.4,3,Male,46-55,7,0,1626.49,Chemical,Unknown,Open - Active,Police Station,33.5,4,55,No,No,No,Partial Coverage,Partially Lit,5,58.6,No
CRM0000060,2023,5,Saturday,Autumn,Night (10pm-2am),USA,Rural,118,Fraud,5.0,1,Female,Under 18,0,0,138.07,Vehicle,Arrested,Open - Active,Police Station,27.2,1,66,Yes,No,Yes,No Coverage,Poorly Lit,1,77.5,No
CRM0000061,2025,10,Saturday,Spring,Evening (6pm-10pm),India,Urban,985,Theft,6.1,3,Male,36-45,0,0,780.08,Vehicle,Acquitted,Closed - Solved,Police Station,35.2,5,55,Yes,No,Yes,Full Coverage,Well Lit,3,43.0,Yes
CRM0000062,2025,10,Saturday,Winter,Morning (6am-12pm),South Africa,Suburban,354,Fraud,3.5,1,Female,18-25,0,0,147.93,,Convicted,Closed - Solved,Community Report,14.6,4,14,Yes,Unknown,Yes,Full Coverage,Well Lit,4,65.3,Yes
CRM0000063,2022,11,Monday,Winter,Evening (6pm-10pm),Australia,Suburban,555,Theft,5.2,1,Male,65+,0,0,611.34,,Arrested,Open - Active,Police Station,24.7,3,28,No,Yes,No,Partial Coverage,Well Lit,2,37.6,No
CRM0000064,2025,11,Thursday,Spring,Evening (6pm-10pm),USA,Urban,4495,Theft,4.8,1,Female,18-25,0,0,107.95,,At Large,Open - Cold Case,Police Station,128.7,2,148,No,No,No,Partial Coverage,Well Lit,4,47.4,No
CRM0000065,2025,6,Thursday,Summer,Morning (6am-12pm),Pakistan,Suburban,719,Robbery,3.9,1,Male,46-55,0,0,124.04,,Arrested,Closed - Unsolved,Police Station,61.7,2,76,No,No,No,Partial Coverage,Well Lit,4,61.3,No
CRM0000066,2024,2,Thursday,Winter,Night (10pm-2am),Pakistan,Rural,130,Vandalism,5.4,1,Female,26-35,0,0,966.32,Blunt Object,Under Investigation,Closed - Solved,Online Portal,5.4,2,47,Yes,No,Yes,Full Coverage,Poorly Lit,1,71.5,Yes
CRM0000067,2022,12,Monday,Autumn,Afternoon (12pm-6pm),Pakistan,Rural,65,Theft,6.3,1,Unknown,65+,4,0,837.84,Unknown,Arrested,Closed - Unsolved,Online Portal,28.4,3,14,No,No,No,No Coverage,Partially Lit,2,35.2,No
CRM0000068,2025,7,Monday,Winter,Night (10pm-2am),Nigeria,Suburban,447,Murder,7.3,2,Male,46-55,3,0,1021.2,Unknown,At Large,Closed - Unsolved,Emergency Call,42.1,3,233,No,No,No,No Coverage,Partially Lit,1,26.2,No
CRM0000069,2024,2,Wednesday,Summer,Morning (6am-12pm),Nigeria,Suburban,281,Domestic Violence,3.5,2,Female,46-55,0,0,84.93,,At Large,Pending Trial,Emergency Call,15.0,3,26,No,No,Yes,Full Coverage,Well Lit,2,78.6,Yes
CRM0000070,2024,11,Wednesday,Winter,Evening (6pm-10pm),Germany,Remote,23,Drug Offense,4.9,1,Male,36-45,0,0,91.78,Unknown,Convicted,Open - Cold Case,Police Station,13.0,3,37,Unknown,,Yes,Partial Coverage,Poorly Lit,0,75.2,No
CRM0000071,2022,11,Monday,Summer,Late Night (2am-6am),Egypt,Urban,1453,Theft,5.4,2,Male,46-55,1,0,6525.24,,Convicted,Open - Active,Online Portal,59.6,2,20,No,Unknown,No,No Coverage,Poorly Lit,4,31.5,No
CRM0000072,2023,5,Sunday,Spring,Late Night (2am-6am),Canada,Suburban,587,Theft,2.9,1,Male,46-55,0,0,20.57,Knife,Arrested,Open - Active,Online Portal,83.7,1,20,No,No,No,No Coverage,Partially Lit,4,31.8,No
CRM0000073,2024,7,Tuesday,Summer,Night (10pm-2am),India,Urban,780,Vandalism,6.0,1,Female,26-35,1,0,103.09,Knife,Under Investigation,Open - Active,Community Report,33.0,2,22,No,Unknown,No,Partial Coverage,Well Lit,2,37.4,No
CRM0000074,2023,8,Sunday,Spring,Afternoon (12pm-6pm),South Africa,Rural,71,Assault,4.9,1,Male,18-25,0,0,410.92,Knife,Convicted,Closed - Solved,Police Station,44.7,2,22,Unknown,No,Yes,No Coverage,,5,28.9,Yes
CRM0000075,2024,10,Sunday,Winter,Evening (6pm-10pm),USA,Suburban,731,Domestic Violence,8.4,2,Male,65+,1,0,1251.29,Firearm,Convicted,Closed - Unsolved,Online Portal,20.0,3,46,No,No,No,Partial Coverage,,1,42.1,No
CRM0000076,2025,3,Thursday,Spring,Afternoon (12pm-6pm),Brazil,Urban,2736,Theft,6.1,2,Female,46-55,0,0,1532.13,Firearm,At Large,Closed - Unsolved,Anonymous Tip,88.4,2,46,No,No,No,Partial Coverage,Well Lit,4,43.5,No
CRM0000077,2021,9,Monday,Winter,Late Night (2am-6am),Pakistan,Rural,139,Drug Offense,5.8,1,Unknown,36-45,0,0,49.75,Firearm,Arrested,Closed - Solved,Police Station,8.9,4,59,No,,No,Full Coverage,Well Lit,3,83.1,Yes
CRM0000078,2022,10,Wednesday,Autumn,Late Night (2am-6am),USA,Suburban,438,Burglary,5.2,1,Female,36-45,0,0,6904.49,,Arrested,Open - Cold Case,Police Station,32.7,3,12,No,,No,No Coverage,,4,36.0,No
CRM0000079,2023,1,Friday,Summer,Night (10pm-2am),Pakistan,Rural,167,Fraud,5.0,1,Female,,0,0,32.46,Firearm,Arrested,Open - Active,Anonymous Tip,22.1,3,7,No,No,No,Full Coverage,Well Lit,2,68.6,No
CRM0000080,2021,5,Tuesday,Summer,Afternoon (12pm-6pm),Brazil,Suburban,490,Domestic Violence,8.9,4,Female,36-45,1,0,6145.22,Blunt Object,Under Investigation,Open - Cold Case,Online Portal,94.5,4,236,No,No,No,No Coverage,Partially Lit,2,25.8,No
CRM0000081,2023,3,Monday,Autumn,Night (10pm-2am),USA,Urban,2027,Theft,5.9,1,Male,65+,1,0,1106.75,Vehicle,Under Investigation,Closed - Unsolved,Emergency Call,51.9,2,26,No,Unknown,No,No Coverage,Poorly Lit,1,60.0,No
CRM0000082,2023,1,Saturday,Spring,Morning (6am-12pm),UK,Rural,107,Fraud,5.4,3,Female,26-35,0,0,191.94,,Under Investigation,Pending Trial,Community Report,14.7,4,47,Yes,No,No,Partial Coverage,Partially Lit,0,74.1,Yes
CRM0000083,2023,1,Wednesday,Summer,Night (10pm-2am),South Africa,Rural,97,Extortion,6.2,1,Female,46-55,0,0,41.18,,Arrested,Closed - Solved,Emergency Call,48.6,3,30,Yes,No,No,No Coverage,Partially Lit,1,60.5,Yes
CRM0000084,2024,4,Monday,Winter,Morning (6am-12pm),Canada,Urban,1659,Burglary,6.5,1,Female,26-35,0,0,38451.31,,Under Investigation,Closed - Solved,Police Station,24.8,5,49,No,No,No,Full Coverage,Well Lit,5,59.6,Yes
CRM0000085,2022,7,Thursday,Autumn,Evening (6pm-10pm),Pakistan,Remote,30,Fraud,5.3,1,Female,18-25,0,0,14.52,Blunt Object,Arrested,Closed - Solved,Police Station,18.5,4,4,No,No,No,Partial Coverage,Poorly Lit,2,46.3,Yes
CRM0000086,2023,2,Friday,Autumn,Evening (6pm-10pm),India,Suburban,180,Assault,6.3,1,Male,26-35,0,0,8.05,Unknown,Under Investigation,Open - Active,Emergency Call,34.6,1,10,No,No,Unknown,No Coverage,Partially Lit,2,61.1,No
CRM0000087,2025,6,Thursday,Spring,Late Night (2am-6am),South Africa,Rural,149,Fraud,3.0,1,Male,56-65,0,0,449.88,Chemical,Under Investigation,Closed - Solved,Police Station,11.9,8,34,No,No,No,Full Coverage,Partially Lit,0,76.7,Yes
CRM0000088,2023,6,Friday,Summer,Night (10pm-2am),USA,Urban,3075,Domestic Violence,6.0,1,Unknown,26-35,0,0,267.76,Knife,Under Investigation,Open - Cold Case,Emergency Call,108.9,2,35,No,Yes,No,No Coverage,Well Lit,5,33.2,No
CRM0000089,2021,3,Saturday,Spring,Night (10pm-2am),Germany,Suburban,506,Theft,8.9,4,Female,26-35,0,0,364.98,,Unknown,Open - Active,Emergency Call,37.8,2,164,No,No,No,Partial Coverage,Poorly Lit,2,45.4,No
CRM0000090,2024,4,Thursday,Winter,Night (10pm-2am),India,,100,Cybercrime,6.9,1,Female,36-45,2,0,659.41,Blunt Object,Convicted,Closed - Unsolved,Anonymous Tip,22.1,3,24,No,No,Yes,Partial Coverage,Poorly Lit,1,42.2,No
CRM0000091,2025,6,Monday,Summer,Late Night (2am-6am),Indonesia,Rural,82,Theft,3.7,2,Male,18-25,0,0,188.48,,Arrested,Closed - Unsolved,Online Portal,31.6,2,6,No,No,No,No Coverage,Partially Lit,2,47.5,No
CRM0000092,2024,9,Sunday,Autumn,Evening (6pm-10pm),Nigeria,Suburban,334,Drug Offense,7.5,2,Male,26-35,0,0,928.28,Knife,Acquitted,Open - Cold Case,Police Station,13.2,3,91,No,No,Unknown,Full Coverage,Well Lit,6,53.5,No
CRM0000093,2025,1,Saturday,Autumn,Morning (6am-12pm),USA,Urban,2670,Robbery,5.1,1,Female,65+,0,0,91.54,,Arrested,Closed - Solved,Emergency Call,23.1,3,184,Unknown,No,Yes,Full Coverage,Partially Lit,2,62.2,Yes
CRM0000094,2021,1,Tuesday,Winter,Evening (6pm-10pm),Australia,Suburban,397,Theft,8.1,2,Male,26-35,3,0,6613.67,,Convicted,Closed - Unsolved,Police Station,69.7,2,116,No,Yes,No,No Coverage,Well Lit,5,30.9,No
CRM0000095,2023,6,Friday,Winter,Evening (6pm-10pm),South Africa,Rural,68,Robbery,7.1,1,Unknown,36-45,0,0,125.44,Firearm,At Large,Open - Active,Online Portal,15.0,2,61,Yes,No,Yes,Partial Coverage,No Lighting,0,53.7,No
CRM0000096,2025,5,Saturday,Winter,Afternoon (12pm-6pm),Brazil,Urban,2092,Theft,6.7,4,Female,18-25,0,0,7900.01,Firearm,At Large,Open - Cold Case,Emergency Call,56.3,3,227,Yes,Yes,No,Partial Coverage,Poorly Lit,5,30.2,No
CRM0000097,2021,6,Saturday,Winter,Afternoon (12pm-6pm),Pakistan,Rural,101,Vandalism,3.1,1,Female,36-45,0,0,105.28,,Unknown,Open - Cold Case,Emergency Call,48.5,3,14,Yes,Yes,No,No Coverage,Partially Lit,3,38.7,No
CRM0000098,2021,3,Saturday,Winter,Evening (6pm-10pm),Germany,Rural,54,Robbery,7.0,1,Male,18-25,0,0,456.41,,Under Investigation,Open - Cold Case,Emergency Call,39.3,2,83,No,No,No,No Coverage,Poorly Lit,0,44.5,No
CRM0000099,2024,11,Saturday,Winter,Evening (6pm-10pm),Germany,Urban,1171,Cybercrime,2.3,1,Female,26-35,0,0,39.2,,At Large,Closed - Unsolved,Emergency Call,46.0,1,51,Yes,Yes,No,Partial Coverage,Poorly Lit,2,75.1,No
CRM0000100,2023,8,Thursday,Summer,Afternoon (12pm-6pm),Germany,,35,Theft,2.0,1,Female,36-45,0,0,18.99,Unknown,Arrested,Open - Cold Case,Emergency Call,31.2,1,2,Unknown,No,No,No Coverage,No Lighting,2,76.9,No
CRM0000101,2025,11,Sunday,Winter,Evening (6pm-10pm),Australia,Suburban,313,Burglary,5.3,2,Male,26-35,0,0,247.13,Firearm,At Large,Open - Active,Police Station,40.7,4,27,No,Yes,No,Partial Coverage,Poorly Lit,2,62.8,No
CRM0000102,2025,3,Tuesday,Summer,Evening (6pm-10pm),Brazil,Urban,1228,Theft,4.2,1,Unknown,,0,0,17.73,,Under Investigation,Closed - Solved,Police Station,15.8,4,12,No,No,No,Full Coverage,Well Lit,4,66.3,Yes
CRM0000103,2023,1,Thursday,Winter,Evening (6pm-10pm),USA,Urban,818,Vandalism,6.9,1,Female,46-55,0,0,2214.68,Unknown,Unknown,Open - Active,Emergency Call,30.3,2,50,Yes,No,No,Partial Coverage,Partially Lit,2,69.2,No
